name1,name2, P-Value , OLS-constant , OLS-coeff , Adjusted-R-squared , key_score ,last_updated
CRI,LULU, 0.48 , 29.58 , 0.12 , 0.88 , 0.02 ,8/9/2024
BOOT,CRI, 0.04 , 230.31 , (1.70), 0.83 , 0.60 ,8/9/2024
AEO,GES, 0.03 , 9.38 , 0.53 , 0.80 , 1.23 ,8/9/2024
BURL,TJX, 0.43 , (106.78), 3.15 , 0.78 , 0.10 ,8/9/2024
BOOT,LULU, 0.69 , 181.14 , (0.21), 0.76 , 0.33 ,8/9/2024
AEO,CAL, 0.16 , (1.65), 0.67 , 0.70 , 2.16 ,8/9/2024
BOOT,TJX, 0.44 , (84.11), 1.89 , 0.67 , -   ,8/9/2024
ANF,BOOT, 0.65 , 10.19 , 1.21 , 0.64 , 0.01 ,8/9/2024
LULU,NKE, 0.74 , (124.37), 5.23 , 0.63 , 0.13 ,8/9/2024
ANF,TJX, 0.41 , (137.01), 2.73 , 0.61 , 0.43 ,8/9/2024
AEO,TJX, 0.01 , 42.70 , (0.20), 0.59 , 0.72 ,8/9/2024
CRI,NKE, 0.72 , 14.36 , 0.63 , 0.56 , -   ,8/9/2024
CAL,GES, 0.23 , 22.44 , 0.56 , 0.55 , 0.38 ,8/9/2024
AEO,BOOT, 0.07 , 31.52 , (0.08), 0.54 , 0.13 ,8/9/2024
CRI,TJX, 0.65 , 163.46 , (0.90), 0.53 , 0.04 ,8/9/2024
BOOT,CAL, 0.20 , 297.46 , (5.17), 0.51 , 0.18 ,8/9/2024
ANF,GES, 0.13 , 288.64 , (5.82), 0.51 , 0.10 ,8/9/2024
BOOT,GES, 0.18 , 205.59 , (3.84), 0.51 , 0.03 ,8/9/2024
LULU,UAA, 0.99 , (179.89), 74.18 , 0.51 , 0.10 ,8/9/2024
GES,TJX, 0.28 , 56.37 , (0.31), 0.50 , 1.51 ,8/9/2024
AEO,CRI, 0.12 , 12.25 , 0.15 , 0.50 , 0.86 ,8/9/2024
NKE,TJX, 0.49 , 197.58 , (1.05), 0.49 , 0.10 ,8/9/2024
FL,UAA, 0.14 , (1.30), 3.76 , 0.49 , 0.65 ,8/9/2024
ROST,URBN, 0.45 , 66.43 , 1.78 , 0.49 , 0.33 ,8/9/2024
BURL,URBN, 0.56 , (71.97), 6.85 , 0.47 , 0.17 ,8/9/2024
CRI,GES, 0.44 , 21.45 , 1.98 , 0.47 , 0.37 ,8/9/2024
LULU,TJX, 0.63 ," 1,036.13 ", (6.71), 0.47 , 0.22 ,8/9/2024
BKE,FL, 0.08 , 30.16 , 0.32 , 0.46 , 1.17 ,8/9/2024
CAL,CRI, 0.26 , 24.02 , 0.17 , 0.44 , 0.66 ,8/9/2024
TJX,URBN, 0.52 , 24.22 , 1.86 , 0.44 , 2.16 ,8/9/2024
AEO,ANF, 0.07 , 29.40 , (0.05), 0.42 , 0.22 ,8/9/2024
BURL,ROST, 0.83 , (144.03), 2.56 , 0.42 , 0.04 ,8/9/2024
CRI,UAA, 0.93 , 10.45 , 8.49 , 0.41 , 0.39 ,8/9/2024
ANF,CAL, 0.14 , 399.21 , (7.04), 0.41 , 0.13 ,8/9/2024
BOOT,NKE, 0.63 , 200.14 , (1.00), 0.41 , -   ,8/9/2024
ANF,BURL, 0.63 , 8.21 , 0.62 , 0.40 , -   ,8/9/2024
ANF,CRI, 0.62 , 270.13 , (1.79), 0.40 , 1.01 ,8/9/2024
AEO,LULU, 0.33 , 17.02 , 0.02 , 0.37 , 0.27 ,8/9/2024
AEO,BURL, 0.13 , 31.91 , (0.04), 0.36 , 0.34 ,8/9/2024
BURL,NKE, 0.61 , 345.81 , (1.42), 0.34 , 0.29 ,8/9/2024
CAL,LULU, 0.42 , 29.79 , 0.02 , 0.32 , 0.38 ,8/9/2024
BOOT,BURL, 0.76 , 30.02 , 0.37 , 0.32 , 0.01 ,8/9/2024
CAL,TJX, 0.25 , 54.82 , (0.18), 0.31 , 0.51 ,8/9/2024
AEO,NKE, 0.37 , 13.94 , 0.10 , 0.30 , 0.23 ,8/9/2024
ANF,LULU, 0.71 , 211.03 , (0.19), 0.29 , -   ,8/9/2024
FL,ROST, 0.28 , (17.30), 0.30 , 0.29 , 0.05 ,8/9/2024
NKE,UAA, 0.97 , 29.63 , 8.51 , 0.29 , 0.75 ,8/9/2024
BOOT,UAA, 0.96 , 202.90 , (13.09), 0.28 , -   ,8/9/2024
GES,LULU, 0.62 , 17.12 , 0.02 , 0.25 , 0.48 ,8/9/2024
ANF,URBN, 0.52 , (63.66), 4.91 , 0.25 , 1.38 ,8/9/2024
BURL,GES, 0.57 , 321.29 , (4.16), 0.24 , 0.33 ,8/9/2024
ROST,TJX, 0.73 , 95.51 , 0.45 , 0.24 , 0.38 ,8/9/2024
ROST,UAA, 0.71 , 108.76 , 4.64 , 0.22 , 0.04 ,8/9/2024
BKE,CAL, 0.37 , 25.41 , 0.35 , 0.22 , 1.15 ,8/9/2024
BKE,UAA, 0.20 , 29.93 , 1.18 , 0.21 , 1.17 ,8/9/2024
BURL,LULU, 0.77 , 275.60 , (0.17), 0.20 , 0.22 ,8/9/2024
BURL,GPS, 0.98 , 115.57 , 4.47 , 0.20 , 0.07 ,8/9/2024
FL,URBN, 0.26 , (0.12), 0.60 , 0.18 , 0.44 ,8/9/2024
ANF,GPS, 0.80 , 49.73 , 4.11 , 0.17 , 0.01 ,8/9/2024
ANF,ROST, 0.70 , (87.00), 1.63 , 0.17 , -   ,8/9/2024
BURL,CRI, 0.81 , 304.28 , (1.22), 0.17 , 0.28 ,8/9/2024
BKE,URBN, 0.47 , 26.93 , 0.27 , 0.16 , 0.53 ,8/9/2024
CAL,NKE, 0.49 , 28.50 , 0.09 , 0.15 , 0.08 ,8/9/2024
GES,NKE, 0.18 , 14.97 , 0.11 , 0.14 , 0.28 ,8/9/2024
CAL,UAA, 0.51 , 27.35 , 1.26 , 0.13 , 0.11 ,8/9/2024
ANF,NKE, 0.77 , 221.45 , (0.86), 0.13 , 0.02 ,8/9/2024
BURL,CAL, 0.78 , 344.78 , (3.50), 0.09 , 0.05 ,8/9/2024
GPS,ROST, 0.18 , 5.29 , 0.12 , 0.09 , 0.09 ,8/9/2024
BURL,FL, 0.72 , 162.44 , 2.19 , 0.09 , 0.13 ,8/9/2024
GPS,UAA, 0.17 , 31.33 , (1.19), 0.09 , 0.07 ,8/9/2024
BOOT,URBN, 0.93 , 26.76 , 1.97 , 0.09 , -   ,8/9/2024
ANF,BKE, 0.62 , 315.13 , (4.47), 0.09 , -   ,8/9/2024
AEO,ROST, 0.60 , 34.42 , (0.08), 0.08 , 0.15 ,8/9/2024
GES,URBN, 0.65 , 40.07 , (0.36), 0.08 , 0.33 ,8/9/2024
AEO,UAA, 0.80 , 17.03 , 0.78 , 0.07 , 0.37 ,8/9/2024
NKE,URBN, 0.79 , 138.87 , (1.16), 0.07 , 0.48 ,8/9/2024
GES,ROST, 0.78 , 43.56 , (0.13), 0.07 , 1.01 ,8/9/2024
GPS,TJX, 0.24 , 12.52 , 0.10 , 0.07 , 0.36 ,8/9/2024
ANF,UAA, 0.74 , 216.91 , (10.29), 0.07 , -   ,8/9/2024
AEO,URBN, 0.55 , 30.55 , (0.19), 0.06 , -   ,8/9/2024
BKE,BURL, 0.26 , 34.41 , 0.02 , 0.06 , 0.37 ,8/9/2024
TJX,UAA, 0.96 , 122.73 , (2.80), 0.06 , 0.18 ,8/9/2024
AEO,BKE, 0.84 , 12.16 , 0.27 , 0.06 , 0.21 ,8/9/2024
GPS,URBN, 0.23 , 12.48 , 0.25 , 0.05 , 0.15 ,8/9/2024
BKE,GES, 0.37 , 34.93 , 0.13 , 0.05 , 1.29 ,8/9/2024
BOOT,GPS, 0.95 , 76.26 , 1.48 , 0.05 , 0.05 ,8/9/2024
BKE,ROST, 0.43 , 30.04 , 0.06 , 0.04 , 0.71 ,8/9/2024
FL,LULU, 0.36 , 21.42 , 0.01 , 0.04 , 0.12 ,8/9/2024
LULU,ROST, 0.96 , 14.34 , 2.34 , 0.04 , 0.27 ,8/9/2024
FL,TJX, 0.18 , 14.38 , 0.11 , 0.04 , 0.06 ,8/9/2024
CRI,FL, 0.96 , 58.07 , 0.49 , 0.03 , 0.05 ,8/9/2024
BKE,GPS, 0.10 , 41.14 , (0.12), 0.03 , 0.74 ,8/9/2024
BKE,BOOT, 0.33 , 40.29 , (0.02), 0.02 , 1.94 ,8/9/2024
CRI,URBN, 0.86 , 95.90 , (0.60), 0.02 , 1.35 ,8/9/2024
BKE,CRI, 0.41 , 35.94 , 0.03 , 0.02 , 0.98 ,8/9/2024
UAA,URBN, 0.68 , 5.17 , 0.05 , 0.02 , 0.06 ,8/9/2024
CRI,ROST, 0.90 , 38.91 , 0.22 , 0.02 , 0.44 ,8/9/2024
GES,UAA, 0.86 , 20.06 , 0.68 , 0.01 , 0.59 ,8/9/2024
BKE,NKE, 0.26 , 40.38 , (0.02), 0.01 , 1.60 ,8/9/2024
GPS,LULU, 0.22 , 24.74 , (0.01), 0.01 , 0.24 ,8/9/2024
FL,NKE, 0.35 , 21.01 , 0.05 , 0.01 , 0.79 ,8/9/2024
CAL,ROST, 0.48 , 43.16 , (0.05), 0.01 , 1.21 ,8/9/2024
FL,GPS, 0.22 , 29.64 , (0.19), 0.01 , 0.18 ,8/9/2024
CAL,FL, 0.57 , 34.21 , 0.08 , 0.01 , 0.30 ,8/9/2024
BKE,LULU, 0.35 , 37.21 , 0.00 , 0.01 , 1.62 ,8/9/2024
BKE,TJX, 0.34 , 35.37 , 0.03 , 0.01 , 0.96 ,8/9/2024
BOOT,FL, 0.96 , 122.10 , (0.47), 0.00 , 0.31 ,8/9/2024
GES,GPS, 0.86 , 22.28 , 0.11 , 0.00 , 0.57 ,8/9/2024
LULU,URBN, 0.94 , 451.31 , (2.50), 0.00 , 0.08 ,8/9/2024
FL,GES, 0.22 , 27.80 , (0.10), (0.00), 0.21 ,8/9/2024
BURL,UAA, 0.90 , 236.94 , (2.69), (0.00), 0.24 ,8/9/2024
CAL,URBN, 0.49 , 38.87 , (0.06), (0.00), 0.34 ,8/9/2024
BOOT,ROST, 0.93 , 87.19 , 0.16 , (0.00), 0.13 ,8/9/2024
CAL,GPS, 0.54 , 37.08 , (0.04), (0.01), 0.59 ,8/9/2024
GPS,NKE, 0.21 , 23.58 , (0.01), (0.01), 0.05 ,8/9/2024
AEO,GPS, 0.76 , 22.90 , (0.02), (0.01), 0.09 ,8/9/2024
AEO,FL, 0.75 , 22.80 , (0.01), (0.01), 0.15 ,8/9/2024
NKE,ROST, 0.89 , 86.64 , 0.02 , (0.01), 0.17 ,8/9/2024
ANF,FL, 0.74 , 143.12 , 0.03 , (0.01), 0.32 ,8/9/2024
CRI,GPS, 0.89 , 70.37 , 0.01 , (0.01), -   ,8/9/2024
